"_id","title","detail","pictureUrl","optionalInd","dueDateTime","createdBy","updatedDate","updatedBy","importance","createdDate","__v"
"ObjectId(""6414220f83386e41d4debbc8"")","task #1","this is a my task","sample url","true","2023-03-29T17:34:00.000Z","10204981",,,"Low","2023-03-17T08:17:19.888Z",0
"ObjectId(""6414225483386e41d4debbca"")","task #2","this is my task","sample url","true","2023-03-29T17:34:00.000Z","sample",,,"Low","2023-03-17T08:18:28.096Z",0
"ObjectId(""6414226183386e41d4debbcc"")","task #3","this is my task #3","sample url","true","2023-03-29T17:34:00.000Z","sample",,,"Low","2023-03-17T08:18:41.976Z",0
"ObjectId(""6414226e83386e41d4debbce"")","task #4","this is my task #4","sample url","false","2023-03-29T17:34:00.000Z","sample",,,"Low","2023-03-17T08:18:54.827Z",0
"ObjectId(""6414227a83386e41d4debbd0"")","task #5","this is my task #5","sample url","false","2023-03-29T17:34:00.000Z","10204981",,,"Low","2023-03-17T08:19:06.313Z",0
"ObjectId(""64145e8a7341271ae0d131ce"")","task #11","this is my task #11","sample url","false","2023-03-29T17:34:00.000Z","10204981",,,"Low","2023-03-17T12:35:22.912Z",0
"ObjectId(""64193839bcd16e249c0b820b"")","task #11111","this is my task #11","sample url","false","2023-04-29T17:34:00.000Z","10204981",,,"Low","2023-03-21T04:53:13.074Z",0
"ObjectId(""64193842bcd16e249c0b820d"")","task #22221","this is my task #11","sample url","false","2023-05-29T17:34:00.000Z","10204981",,,"Low","2023-03-21T04:53:22.296Z",0
"ObjectId(""6419384dbcd16e249c0b820f"")","task #66621","this is my task #11","sample url","false","2023-03-01T18:34:00.000Z","10204981",,,"Low","2023-03-21T04:53:33.814Z",0
"ObjectId(""641ab817733a255350dc981a"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:11:03.156Z",0
"ObjectId(""641ab87ebc147542144bef1a"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:12:46.428Z",0
"ObjectId(""641ab8d044a27e2830ff6330"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:14:08.264Z",0
"ObjectId(""641ab8f7329e221c6841153e"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:14:47.508Z",0
"ObjectId(""641ab95f41548857689c225a"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:16:31.281Z",0
"ObjectId(""641aba293993924be4b7f02d"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:19:53.421Z",0
"ObjectId(""641abaa2b65a131adc8d1472"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:21:54.135Z",0
"ObjectId(""641abba1e8d4c04a18a6d1fc"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:26:09.137Z",0
"ObjectId(""641abe2eb521ba399cadb802"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:37:02.525Z",0
"ObjectId(""641abeb4f62ce43fccf19869"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:39:16.380Z",0
"ObjectId(""641abee802f56f536cfc1d4f"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:40:08.795Z",0
"ObjectId(""641abfc00572534ac88c08da"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:43:44.857Z",0
"ObjectId(""641ac20bbcadcc53683e1257"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:53:31.475Z",0
"ObjectId(""641ac2d82ba93b30e03a5b89"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:56:56.634Z",0
"ObjectId(""641ac31dccc88821683e2423"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:58:05.513Z",0
"ObjectId(""641ac3709b4ced243057c996"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T08:59:28.513Z",0
"ObjectId(""641add5e43b6ec2fe8f29ea7"")","task #9999","this is my task #999","sample url","false","2023-03-01T18:34:00.000Z","21315092",,,"Low","2023-03-22T10:50:06.782Z",0
"ObjectId(""641adda42d278d3ad8b77a2f"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T10:51:16.642Z",0
"ObjectId(""641addfb2beb242d508f31c2"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T10:52:43.325Z",0
"ObjectId(""641ade6c2a5a2c1b0c23f885"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T10:54:36.803Z",0
"ObjectId(""641adfe4354e821910b0d831"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T11:00:52.668Z",0
"ObjectId(""641ae2e66ec7880de83790af"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T11:13:42.321Z",0
"ObjectId(""641ae35e88eb043afcf35020"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T11:15:42.809Z",0
"ObjectId(""641aeb629853f319fc9cf368"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T11:49:54.290Z",0
"ObjectId(""641aebfb08c74a52c027239e"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T11:52:27.405Z",0
"ObjectId(""641aec232caf865808b6f1c8"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-22T11:53:07.354Z",0
"ObjectId(""641c3a5938d66c5a08b8ce92"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-23T11:39:05.113Z",0
"ObjectId(""641c3b3249b49139e807dcd3"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-23T11:42:43.000Z",0
"ObjectId(""641c3bf1ba48084650334059"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-23T11:45:53.979Z",0
"ObjectId(""641c3c74f8fa334f0c8ddb30"")","task #1","this is a new task for a new user","sample url","false","2023-12-25T18:34:00.000Z","21315092",,,"Low","2023-03-23T11:48:04.870Z",0